┌────────────┬─────────────────────┬──────┐
│    Date    │       region        │ year │
├────────────┼─────────────────────┼──────┤
│ 2016-12-25 │ Albany              │ 2016 │
│ 2016-12-18 │ Albany              │ 2016 │
│ 2016-12-11 │ Albany              │ 2016 │
│ 2016-12-04 │ Albany              │ 2016 │
│ 2016-11-27 │ Albany              │ 2016 │
│ 2016-11-20 │ Albany              │ 2016 │
│ 2016-11-13 │ Albany              │ 2016 │
│ 2016-11-06 │ Albany              │ 2016 │
│ 2016-10-30 │ Albany              │ 2016 │
│ 2016-10-23 │ Albany              │ 2016 │
│ 2016-10-16 │ Albany              │ 2016 │
│ 2016-10-09 │ Albany              │ 2016 │
│ 2016-10-02 │ Albany              │ 2016 │
│ 2016-09-25 │ Albany              │ 2016 │
│ 2016-09-18 │ Albany              │ 2016 │
│ 2016-09-11 │ Albany              │ 2016 │
│ 2016-09-04 │ Albany              │ 2016 │
│ 2016-08-28 │ Albany              │ 2016 │
│ 2016-08-21 │ Albany              │ 2016 │
│ 2016-08-14 │ Albany              │ 2016 │
│ 2016-08-07 │ Albany              │ 2016 │
│ 2016-07-31 │ Albany              │ 2016 │
│ 2016-07-24 │ Albany              │ 2016 │
│ 2016-07-17 │ Albany              │ 2016 │
│ 2016-07-10 │ Albany              │ 2016 │
│ 2016-07-03 │ Albany              │ 2016 │
│ 2016-06-26 │ Albany              │ 2016 │
│ 2016-06-19 │ Albany              │ 2016 │
│ 2016-06-12 │ Albany              │ 2016 │
│ 2016-06-05 │ Albany              │ 2016 │
│ 2016-05-29 │ Albany              │ 2016 │
│ 2016-05-22 │ Albany              │ 2016 │
│ 2016-05-15 │ Albany              │ 2016 │
│ 2016-05-08 │ Albany              │ 2016 │
│ 2016-05-01 │ Albany              │ 2016 │
│ 2016-04-24 │ Albany              │ 2016 │
│ 2016-04-17 │ Albany              │ 2016 │
│ 2016-04-10 │ Albany              │ 2016 │
│ 2016-04-03 │ Albany              │ 2016 │
│ 2016-03-27 │ Albany              │ 2016 │
│ 2016-03-20 │ Albany              │ 2016 │
│ 2016-03-13 │ Albany              │ 2016 │
│ 2016-03-06 │ Albany              │ 2016 │
│ 2016-02-28 │ Albany              │ 2016 │
│ 2016-02-21 │ Albany              │ 2016 │
│ 2016-02-14 │ Albany              │ 2016 │
│ 2016-02-07 │ Albany              │ 2016 │
│ 2016-01-31 │ Albany              │ 2016 │
│ 2016-01-24 │ Albany              │ 2016 │
│ 2016-01-17 │ Albany              │ 2016 │
│ 2016-01-10 │ Albany              │ 2016 │
│ 2016-01-03 │ Albany              │ 2016 │
│ 2016-12-25 │ Atlanta             │ 2016 │
│ 2016-12-18 │ Atlanta             │ 2016 │
│ 2016-12-11 │ Atlanta             │ 2016 │
│ 2016-12-04 │ Atlanta             │ 2016 │
│ 2016-11-27 │ Atlanta             │ 2016 │
│ 2016-11-20 │ Atlanta             │ 2016 │
│ 2016-11-13 │ Atlanta             │ 2016 │
│ 2016-11-06 │ Atlanta             │ 2016 │
│ 2016-10-30 │ Atlanta             │ 2016 │
│ 2016-10-23 │ Atlanta             │ 2016 │
│ 2016-10-16 │ Atlanta             │ 2016 │
│ 2016-10-09 │ Atlanta             │ 2016 │
│ 2016-10-02 │ Atlanta             │ 2016 │
│ 2016-09-25 │ Atlanta             │ 2016 │
│ 2016-09-18 │ Atlanta             │ 2016 │
│ 2016-09-11 │ Atlanta             │ 2016 │
│ 2016-09-04 │ Atlanta             │ 2016 │
│ 2016-08-28 │ Atlanta             │ 2016 │
│ 2016-08-21 │ Atlanta             │ 2016 │
│ 2016-08-14 │ Atlanta             │ 2016 │
│ 2016-08-07 │ Atlanta             │ 2016 │
│ 2016-07-31 │ Atlanta             │ 2016 │
│ 2016-07-24 │ Atlanta             │ 2016 │
│ 2016-07-17 │ Atlanta             │ 2016 │
│ 2016-07-10 │ Atlanta             │ 2016 │
│ 2016-07-03 │ Atlanta             │ 2016 │
│ 2016-06-26 │ Atlanta             │ 2016 │
│ 2016-06-19 │ Atlanta             │ 2016 │
│ 2016-06-12 │ Atlanta             │ 2016 │
│ 2016-06-05 │ Atlanta             │ 2016 │
│ 2016-05-29 │ Atlanta             │ 2016 │
│ 2016-05-22 │ Atlanta             │ 2016 │
│ 2016-05-15 │ Atlanta             │ 2016 │
│ 2016-05-08 │ Atlanta             │ 2016 │
│ 2016-05-01 │ Atlanta             │ 2016 │
│ 2016-04-24 │ Atlanta             │ 2016 │
│ 2016-04-17 │ Atlanta             │ 2016 │
│ 2016-04-10 │ Atlanta             │ 2016 │
│ 2016-04-03 │ Atlanta             │ 2016 │
│ 2016-03-27 │ Atlanta             │ 2016 │
│ 2016-03-20 │ Atlanta             │ 2016 │
│ 2016-03-13 │ Atlanta             │ 2016 │
│ 2016-03-06 │ Atlanta             │ 2016 │
│ 2016-02-28 │ Atlanta             │ 2016 │
│ 2016-02-21 │ Atlanta             │ 2016 │
│ 2016-02-14 │ Atlanta             │ 2016 │
│ 2016-02-07 │ Atlanta             │ 2016 │
│ 2016-01-31 │ Atlanta             │ 2016 │
│ 2016-01-24 │ Atlanta             │ 2016 │
│ 2016-01-17 │ Atlanta             │ 2016 │
